# Базовые веса при max_tier=5 (семья открыта до TA5). Одна строка на run_level.
# max_tier=1..4 в игре: первые N tier, перенормировка - см. tier_probabilities_map1().
run_level	drop_profile	segment_t	tier1_pct	tier2_pct	tier3_pct	tier4_pct	tier5_pct
84	5	0.1579	13.74	29.21	34.21	18.74	4.11
85	5	0.2105	13.32	28.95	33.95	19.32	4.47
86	5	0.2632	12.89	28.68	33.68	19.89	4.84
87	5	0.3158	12.47	28.42	33.42	20.47	5.21
88	5	0.3684	12.05	28.16	33.16	21.05	5.58
89	5	0.4211	11.63	27.89	32.89	21.63	5.95
90	5	0.4737	11.21	27.63	32.63	22.21	6.32
91	5	0.5263	10.79	27.37	32.37	22.79	6.68
92	5	0.5789	10.37	27.11	32.11	23.37	7.05
93	5	0.6316	9.95	26.84	31.84	23.95	7.42
94	5	0.6842	9.53	26.58	31.58	24.53	7.79
95	5	0.7368	9.11	26.32	31.32	25.11	8.16
96	5	0.7895	8.68	26.05	31.05	25.68	8.53
97	5	0.8421	8.26	25.79	30.79	26.26	8.89
98	5	0.8947	7.84	25.53	30.53	26.84	9.26
99	5	0.9474	7.42	25.26	30.26	27.42	9.63
100	5	1.0000	7.00	25.00	30.00	28.00	10.00
101	6	0.0138	6.94	24.89	30.07	28.03	10.07
102	6	0.0273	6.89	24.78	30.14	28.05	10.14
103	6	0.0407	6.84	24.67	30.20	28.08	10.20
104	6	0.0539	6.78	24.57	30.27	28.11	10.27
105	6	0.0670	6.73	24.46	30.33	28.13	10.33
106	6	0.0798	6.68	24.36	30.40	28.16	10.40
107	6	0.0925	6.63	24.26	30.46	28.18	10.46
108	6	0.1050	6.58	24.16	30.52	28.21	10.52
109	6	0.1173	6.53	24.06	30.59	28.23	10.59
110	6	0.1294	6.48	23.96	30.65	28.26	10.65
111	6	0.1414	6.43	23.87	30.71	28.28	10.71
112	6	0.1533	6.39	23.77	30.77	28.31	10.77
113	6	0.1649	6.34	23.68	30.82	28.33	10.82
114	6	0.1764	6.29	23.59	30.88	28.35	10.88
115	6	0.1877	6.25	23.50	30.94	28.38	10.94
116	6	0.1989	6.20	23.41	30.99	28.40	10.99
117	6	0.2100	6.16	23.32	31.05	28.42	11.05
118	6	0.2208	6.12	23.23	31.10	28.44	11.10
119	6	0.2316	6.07	23.15	31.16	28.46	11.16
120	6	0.2421	6.03	23.06	31.21	28.48	11.21
121	6	0.2526	5.99	22.98	31.26	28.51	11.26
122	6	0.2629	5.95	22.90	31.31	28.53	11.31
123	6	0.2730	5.91	22.82	31.37	28.55	11.37
124	6	0.2830	5.87	22.74	31.42	28.57	11.42
125	6	0.2929	5.83	22.66	31.46	28.59	11.46
126	6	0.3026	5.79	22.58	31.51	28.61	11.51
127	6	0.3122	5.75	22.50	31.56	28.62	11.56
128	6	0.3217	5.71	22.43	31.61	28.64	11.61
129	6	0.3310	5.68	22.35	31.66	28.66	11.66
130	6	0.3402	5.64	22.28	31.70	28.68	11.70
131	6	0.3493	5.60	22.21	31.75	28.70	11.75
132	6	0.3583	5.57	22.13	31.79	28.72	11.79
133	6	0.3671	5.53	22.06	31.84	28.73	11.84
134	6	0.3758	5.50	21.99	31.88	28.75	11.88
135	6	0.3844	5.46	21.92	31.92	28.77	11.92
136	6	0.3929	5.43	21.86	31.96	28.79	11.96
137	6	0.4013	5.39	21.79	32.01	28.80	12.01
138	6	0.4095	5.36	21.72	32.05	28.82	12.05
139	6	0.4176	5.33	21.66	32.09	28.84	12.09
140	6	0.4257	5.30	21.59	32.13	28.85	12.13
141	6	0.4336	5.27	21.53	32.17	28.87	12.17
142	6	0.4414	5.23	21.47	32.21	28.88	12.21
143	6	0.4490	5.20	21.41	32.25	28.90	12.25
144	6	0.4566	5.17	21.35	32.28	28.91	12.28
145	6	0.4641	5.14	21.29	32.32	28.93	12.32
146	6	0.4715	5.11	21.23	32.36	28.94	12.36
147	6	0.4788	5.08	21.17	32.39	28.96	12.39
148	6	0.4859	5.06	21.11	32.43	28.97	12.43
149	6	0.4930	5.03	21.06	32.47	28.99	12.47
150	6	0.5000	5.00	21.00	32.50	29.00	12.50
151	6	0.5069	4.97	20.94	32.53	29.01	12.53
152	6	0.5137	4.95	20.89	32.57	29.03	12.57
153	6	0.5204	4.92	20.84	32.60	29.04	12.60
154	6	0.5270	4.89	20.78	32.63	29.05	12.63
155	6	0.5335	4.87	20.73	32.67	29.07	12.67
156	6	0.5399	4.84	20.68	32.70	29.08	12.70
157	6	0.5462	4.82	20.63	32.73	29.09	12.73
158	6	0.5525	4.79	20.58	32.76	29.10	12.76
159	6	0.5586	4.77	20.53	32.79	29.12	12.79
160	6	0.5647	4.74	20.48	32.82	29.13	12.82
161	6	0.5707	4.72	20.43	32.85	29.14	12.85
162	6	0.5766	4.69	20.39	32.88	29.15	12.88
163	6	0.5825	4.67	20.34	32.91	29.16	12.91
164	6	0.5882	4.65	20.29	32.94	29.18	12.94
165	6	0.5939	4.62	20.25	32.97	29.19	12.97
166	6	0.5995	4.60	20.20	33.00	29.20	13.00
167	6	0.6050	4.58	20.16	33.02	29.21	13.02
168	6	0.6104	4.56	20.12	33.05	29.22	13.05
169	6	0.6158	4.54	20.07	33.08	29.23	13.08
170	6	0.6211	4.52	20.03	33.11	29.24	13.11
171	6	0.6263	4.49	19.99	33.13	29.25	13.13
172	6	0.6314	4.47	19.95	33.16	29.26	13.16
173	6	0.6365	4.45	19.91	33.18	29.27	13.18
174	6	0.6415	4.43	19.87	33.21	29.28	13.21
175	6	0.6464	4.41	19.83	33.23	29.29	13.23
176	6	0.6513	4.39	19.79	33.26	29.30	13.26
177	6	0.6561	4.38	19.75	33.28	29.31	13.28
178	6	0.6608	4.36	19.71	33.30	29.32	13.30
179	6	0.6655	4.34	19.68	33.33	29.33	13.33
180	6	0.6701	4.32	19.64	33.35	29.34	13.35
181	6	0.6747	4.30	19.60	33.37	29.35	13.37
182	6	0.6791	4.28	19.57	33.40	29.36	13.40
183	6	0.6836	4.27	19.53	33.42	29.37	13.42
184	6	0.6879	4.25	19.50	33.44	29.38	13.44
185	6	0.6922	4.23	19.46	33.46	29.38	13.46
186	6	0.6965	4.21	19.43	33.48	29.39	13.48
187	6	0.7006	4.20	19.39	33.50	29.40	13.50
188	6	0.7048	4.18	19.36	33.52	29.41	13.52
189	6	0.7088	4.16	19.33	33.54	29.42	13.54
190	6	0.7128	4.15	19.30	33.56	29.43	13.56
191	6	0.7168	4.13	19.27	33.58	29.43	13.58
192	6	0.7207	4.12	19.23	33.60	29.44	13.60
193	6	0.7245	4.10	19.20	33.62	29.45	13.62
194	6	0.7283	4.09	19.17	33.64	29.46	13.64
195	6	0.7321	4.07	19.14	33.66	29.46	13.66
196	6	0.7357	4.06	19.11	33.68	29.47	13.68
197	6	0.7394	4.04	19.08	33.70	29.48	13.70
198	6	0.7430	4.03	19.06	33.71	29.49	13.71
199	6	0.7465	4.01	19.03	33.73	29.49	13.73
200	6	0.7500	4.00	19.00	33.75	29.50	13.75
